id,name,subject,subject_abbreviation,total_students,avg_gpa
670,Education and Public Policy,Educational Policy Studies,ED POL,728,3.742047026
671,Effects-Mass Communication,Journalism and Mass Communication,JOURN,1096,3.319060773
672,Eighteenth Century Europe,History,HISTORY,205,3.040816327
673,Elec&Elec-mech Power Conver,Electrical and Computer Engineering,E C E,1892,3.209216102
674,Elect Circuits & Electronic,Physics,PHYSICS,346,3.058479532
675,Elections & Voting Behavior,Political Science,POLI SCI,348,3.335311573
676,Electricl&Electronc Circuit,Electrical and Computer Engineering,E C E,2829,3.134642604
677,Electroacoustical Engr,Electrical and Computer Engineering,E C E,192,3.513089005
678,Electrodynamics I,Electrical and Computer Engineering,E C E,1515,3.082450331
679,Electrodynamics II,Electrical and Computer Engineering,E C E,643,3.363919129
680,Electromag Wave Transmissn,Electrical and Computer Engineering,E C E,315,3.116987179
681,Electromagnetic Fields,Physics,PHYSICS,873,3.110655738
682,Electromech Energy Conversn,Electrical and Computer Engineering,E C E,330,3.238317757
683,Electronic Circuits I,Electrical and Computer Engineering,E C E,1416,3.085754784
684,Electronic Circuits II,Electrical and Computer Engineering,E C E,979,3.132924335
685,Elem Demographic Techniques,Sociology,SOC,124,3.43495935
686,Elem Matrix&Linear Algebra,Mathematics,MATH,4147,2.85070286
687,Elementary Chinese,East Asian Languages and Literature,E ASIAN,797,3.713720317
688,Elementary Heat Transfer,Mechanical Engineering,M E,2402,3.11942476
689,Elementary Japanese,East Asian Languages and Literature,E ASIAN,879,3.570011669
690,Elementary Korean,East Asian Languages and Literature,E ASIAN,916,3.64183223
691,Elementary Latin,Latin (Classics),LATIN,1803,3.294612795
692,Elementary Logic,Philosophy,PHILOS,4382,3.212254335
693,Elementary Number Theory,Mathematics,MATH,311,3.113636364
694,Elementary Organic Chemistry,Chemistry,CHEM,494,2.779835391
695,Elementary Petrology,Geological Engineering,G L E,355,3
696,Elementary Petrology,Geoscience,GEOSCI,355,3
697,Elementary Topology,Mathematics,MATH,493,2.971578947
698,Elements of Music,Music,MUSIC,393,3.480211082
699,Emergence of Human Culture,Anthropology,ANTHRO,628,2.704132231
700,Employee Benefits Managemnt,Risk Management and Insurance,R M I,1076,3.221755369
701,End-of-Life Pract. Challenges,Social Work,SOC WORK,92,3.505434783
702,Endocrinology,Zoology,ZOOLOGY,380,3.079787234
703,Energy,Physics,PHYSICS,1897,3.380889359
704,Energy Economics,Agricultural and Applied Economics,A A E,403,3.442602041
705,Energy Economics,Economics,ECON,403,3.442602041
706,Energy Economics,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,403,3.442602041
707,Energy Economics,TRANSPORTATION AND PUBLIC UTILITIES,TRAN P U,403,3.442602041
708,Energy Economics,Urban and Regional Planning,URB R PL,403,3.442602041
709,Energy Resources,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,834,3.239684466
710,Energy Resources,Geoscience,GEOSCI,834,3.239684466
711,Engineering Analysis I,Engineering Mechanics and Astronautics,E M A,485,3.395178197
712,Engineering Analysis I,Engineering Physics,E P,485,3.395178197
713,Engineering Analysis I,Nuclear Engineering,N E,485,3.395178197
714,Engineering Design Projects,Mechanical Engineering,M E,1400,3.315582559
715,Engineerng Economc Analysis,Accounting and Information Systems,ACCT I S,2335,3.274387624
716,Engineerng Economc Analysis,Industrial and Systems Engineering,I SY E,2335,3.274387624
717,English History to 1688,History,HISTORY,953,3.248868778
718,English Lang Variation in U.S.,English,ENGL,318,3.413738019
719,English Lang Variation in U.S.,ENGLISH,ENGLISH,318,3.413738019
720,English Novel: 18th Cent,ENGLISH,ENGLISH,136,3.246268657
721,Engr Measure & Instrumentation,Mechanical Engineering,M E,1592,3.106918239
722,Engr Principles-Biol Systms,Biological Systems Engineering,BSE,538,2.997211896
723,Engr Problem Solving I,Engineering Physics,E P,463,3.165217391
724,Engr Problem Solving I,Nuclear Engineering,N E,463,3.165217391
725,Engr Prop-Food & Biol Matls,Biological Systems Engineering,BSE,280,3.05734767
726,Envir St-Social Perspective,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,2240,3.667942368
727,Envir Studies Cert Seminar,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,633,3.850318471
728,Envir Studies Major Capstone,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,554,3.877034358
729,Envir Stwrdshp & Soc Justice,Community and Environmental Sociology,C&E SOC,275,3.439622642
730,Envir Stwrdshp & Soc Justice,Sociology,SOC,275,3.439622642
731,"Envir, Nat Resources & Society",Community and Environmental Sociology,C&E SOC,496,3.444219067
732,"Envir, Nat Resources & Society",Forest and Wildlife Ecology,F&W ECOL,496,3.444219067
733,"Envir, Nat Resources & Society",Sociology,SOC,496,3.444219067
734,Environment&Global Economy,Agricultural and Applied Economics,A A E,694,3.099415205
735,Environment&Global Economy,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,694,3.099415205
736,Environmental Conservation,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,3907,2.858255452
737,Environmental Conservation,Geography,GEOG,3907,2.858255452
738,Environmental Economics,Agricultural and Applied Economics,A A E,2387,2.967817562
739,Environmental Economics,Economics,ECON,2387,2.967817562
740,Environmental Economics,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,2387,2.967817562
741,Environmental Engineering,Civil and Environmental Engineering,CIV ENGR,1746,3.034730195
742,Environmental Ethics,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,601,3.250847458
743,Environmental Ethics,Philosophy,PHILOS,601,3.250847458
744,Environmental Geology,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,2909,2.92658799
745,Environmental Geology,Geoscience,GEOSCI,2909,2.92658799
746,Environmental History: Europe,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,126,3.06779661
747,Environmental History: Europe,History,HISTORY,126,3.06779661
748,"Envr Law, Toxic Subst&Consv",Environmental Studies - Gaylord Nelson Institute,ENVIR ST,643,3.006514658
749,"Envr Law, Toxic Subst&Consv",Molecular and Environmental Toxicology Center,M&ENVTOX,643,3.006514658
750,"Envr Law, Toxic Subst&Consv",Plant Pathology,PL PATH,643,3.006514658
751,Envr St-Humanistic Perspctv,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,2354,3.421707422
752,ESL: Academic Writing II,ENGLISH,ENGLISH,2661,3.385063958
753,Essentials-Gerontol Nursing,Nursing,NURSING,1818,3.766373143
754,Estate Plng for Fincl Planners,Consumer Science,CNSR SCI,264,3.166030534
755,Ethical Issues in Health Care,Medical History and Bioethics,MED HIST,283,3.479704797
756,Ethical Issues in Health Care,Philosophy,PHILOS,283,3.479704797
757,Ethical Probs-Biomed Tech,Medical History and Bioethics,MED HIST,180,3.188571429
758,Ethical Probs-Biomed Tech,Philosophy,PHILOS,180,3.188571429
759,Ethics in Business,Philosophy,PHILOS,453,3.466592428
760,Ethics of Entertainment Media,Communication Arts,COM ARTS,52,3.230769231
761,Ethnic and Multicultural Lit,English,ENGL,917,3.580874317
762,Ethnic and Racial Groups,Social Work,SOC WORK,1949,3.742151312
763,Ethnic Movements in U.S.,Asian American Studies,ASIAN AM,1723,3.403055229
764,Ethnic Movements in U.S.,Sociology,SOC,1723,3.403055229
765,Ethnobotany,American Indian Studies,AMER IND,356,3.637142857
766,Ethnobotany,Anthropology,ANTHRO,356,3.637142857
767,Ethnobotany,Botany,BOTANY,356,3.637142857
768,Ethnohist-Am Indian: Relig&Pol,American Indian Studies,AMER IND,17,2.84375
769,Ethnohist-Am Indian: Relig&Pol,Anthropology,ANTHRO,17,2.84375
770,Eukaryotic Molecular Biology,Biochemistry,BIOCHEM,497,3.287941788
771,Eukaryotic Molecular Biology,Cell and Regenerative Biology,CRB,497,3.287941788
772,Eukaryotic Molecular Biology,Genetics,GENETICS,497,3.287941788
773,Eukaryotic Molecular Biology,Medical Genetics,MD GENET,497,3.287941788
774,Eukaryotic Molecular Biology,Pharmacology,PHMCOL-M,497,3.287941788
775,Eur Soc Hist 1914-Present,History,HISTORY,162,3.25
776,Eur Union:Politics&Pol Econ,Political Science,POLI SCI,782,3.069767442
777,Europe,Geography,GEOG,2634,3.35625
778,Europe&Mod World 1815-On,History,HISTORY,2336,3.199331849
779,European Interiors to 18 C,Design Studies,DS,207,3.125615764
780,European Politics,Political Science,POLI SCI,83,2.841463415
781,Europn Arch:Modern Movemnts,Art History,ART HIST,107,3.078125
782,Evidence,Law,LAW,1055,3.120856354
783,Evolution and Extinction,Geoscience,GEOSCI,4177,2.788824383
784,Evolution of Behavior,Zoology,ZOOLOGY,270,2.923791822
785,"Evolution,Ecology,&Genetics",Biology Core Curriculum,BIOCORE,837,3.344951923
786,Evolutionary Biology,Anthropology,ANTHRO,2238,2.981464738
787,Evolutionary Biology,Botany,BOTANY,2238,2.981464738
788,Evolutionary Biology,Zoology,ZOOLOGY,2238,2.981464738
789,"Exercise,Nutrition,&Health",Kinesiology,KINES,5363,2.620637329
790,"Exercise,Nutrition,&Health",PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,5363,2.620637329
791,Experimental Psychology,Psychology,PSYCH,2579,2.811331776
792,Exploration of Solar System,Astronomy,ASTRON,1827,3.062605278
793,Exploration-European Hist (H),History,HISTORY,1286,3.22299509
794,Exploration-European Hist (S),History,HISTORY,85,3.317073171
795,Explorations in Amer Hist (H),History,HISTORY,1145,3.226345083
796,Exploring Biology,Biology,BIOLOGY,1129,3.635879218
797,Exploring Biology,Integrated Science,INTEGSCI,1129,3.635879218
798,Exploring French:Intermed Crse,French (French and Italian),FRENCH,1011,3.538767396
799,Extinction of Species,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,3353,3.265957447
800,Extinction of Species,Forest and Wildlife Ecology,F&W ECOL,3353,3.265957447
801,Extinction of Species,WILDLIFE ECOLOGY,WL ECOL,3353,3.265957447
802,Extinction of Species,Zoology,ZOOLOGY,3353,3.265957447
803,Fabric & Apparel Structures I,Design Studies,DS,388,3.44973545
804,Facilities Planning,Industrial and Systems Engineering,I SY E,393,3.415601023
805,Facilities Planning,Mechanical Engineering,M E,393,3.415601023
806,Family Econ & Public Policy,Consumer Science,CNSR SCI,151,3.3
807,Family Economics,Consumer Science,CNSR SCI,407,3.214987715
808,Family Financial Counseling,Consumer Science,CNSR SCI,359,3.223943662
809,Family Perspctv-Policymakng,Human Development and Family Studies,HDFS,701,3.359397418
810,Family Stress and Coping,Human Development and Family Studies,HDFS,667,3.715477997
811,Family Stress and Resilience,Human Development and Family Studies,HDFS,191,3.673796791
812,Family Violence,Social Work,SOC WORK,550,3.258272059
813,Family&Com Influences-Child,Human Development and Family Studies,HDFS,437,3.719036697
814,Farming Systems Management,Agricultural and Applied Economics,A A E,505,3.279207921
815,Fashion Illustration,Design Studies,DS,202,3.450248756
816,Feedback Control Systems,Electrical and Computer Engineering,E C E,516,2.985265226
817,Field Ecology Workshop,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,190,3.55026455
818,Field Prac/Integrat Smr III,Social Work,SOC WORK,1598,3.889143231
819,Fifth Semester Chinese,East Asian Languages and Literature,E ASIAN,497,3.691115702
820,Figure in American Lit,English,ENGL,87,3.372093023
821,Figures of Contemp Amer Lit,ENGLISH,ENGLISH,147,3.424137931
822,Figures of Contemp Eng Lit,ENGLISH,ENGLISH,172,3.435672515
823,Film History Since 1960,Communication Arts,COM ARTS,213,3.253731343
824,Film Styles and Genres,Communication Arts,COM ARTS,656,3.12788906
825,Financial Reporting I,Accounting and Information Systems,ACCT I S,4586,3.259781421
826,Financial Reporting II,Accounting and Information Systems,ACCT I S,1742,3.248700173
827,Financng Postsecondry Educ,Educational Leadership and Policy Analysis,ELPA,127,3.628
828,"Finc Mrkts,Instns&Econ Actv","Finance, Investment and Banking",FINANCE,1221,3.122203811
829,Finc'l Life Skills After Grad,Consumer Science,CNSR SCI,650,3.852395672
830,Finc'l Svcs Leadership Sympos,Consumer Science,CNSR SCI,375,3.838235294
831,First Aid,Kinesiology,KINES,602,3.732830821
832,First Crse in Real Analysis,Mathematics,MATH,339,3.609907121
833,First Semester Arabic,African Languages and Literature,AFRICAN,967,3.550793651
834,First Semester Arabic,Languages and Cultures of Asia - Languages,LCA LANG,967,3.550793651
835,First Semester Chinese,East Asian Languages and Literature,E ASIAN,1144,3.67141585
836,First Semester Czech,Slavic (Slavic Languages),SLAVIC,52,3.46
837,First Semester French,French (French and Italian),FRENCH,3410,3.492751435
838,First Semester German,German,GERMAN,2175,3.541569902
839,First Semester Greek,Greek (Classics),GREEK,295,3.436619718
840,First Semester Hebrew,HEBREW,HEBR ST,615,3.753694581
841,First Semester Hebrew,Hebrew-Modern,HEBR-MOD,615,3.753694581
842,First Semester Italian,Italian (French and Italian),ITALIAN,3635,3.506696429
843,First Semester Japanese,East Asian Languages and Literature,E ASIAN,1370,3.487084871
844,First Semester Ojibwe,American Indian Studies,AMER IND,88,3.255952381
845,First Semester Spanish,Spanish (Spanish and Portuguese),SPANISH,222,3.081018519
846,First Semester Swahili,African Languages and Literature,AFRICAN,319,3.594855305
847,First Semester Swedish,Scandinavian Studies,SCAND ST,288,3.664310954
848,First Semester Thai,Languages and Cultures of Asia - Languages,LCA LANG,129,3.536
849,First Year Spanish,Spanish (Spanish and Portuguese),SPANISH,8066,3.121971227
850,Fitness Walking,PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,157,3.59375
851,Flight Dynamics and Control,Engineering Mechanics and Astronautics,E M A,98,3.350515464
852,Fluid Dynamics,Mechanical Engineering,M E,2878,3.044630404
853,Fluid Mechanics,Civil and Environmental Engineering,CIV ENGR,1560,2.802962009
854,Fluids & Sedimentary Processes,Geoscience,GEOSCI,85,3.166666667
855,Food & Phmaceut Separations,Biological Systems Engineering,BSE,71,3.443661972
856,Food & Phmaceut Separations,Food Science,FOOD SCI,71,3.443661972
857,Food Analysis,Food Science,FOOD SCI,257,2.984375
858,Food Bacteriology,Food Science,FOOD SCI,90,3.016853933
859,Food Bacteriology,Microbiology,MICROBIO,90,3.016853933
860,Food Chemistry I,Food Science,FOOD SCI,105,2.947619048
861,Food Engineering Operations,Biological Systems Engineering,BSE,104,2.961538462
862,Food Engineering Operations,Food Science,FOOD SCI,104,2.961538462
863,Food Laws and Regulations,Animal Sciences,AN SCI,477,3.435760171
864,Food Laws and Regulations,Food Science,FOOD SCI,477,3.435760171
865,Food Microbiology,Food Science,FOOD SCI,1102,3.003646308
866,Food Microbiology,Microbiology,MICROBIO,1102,3.003646308
867,Food Microbiology Laboratory,Food Science,FOOD SCI,442,3.245454545
868,Food Microbiology Laboratory,Microbiology,MICROBIO,442,3.245454545
869,Food Processing I,Food Science,FOOD SCI,121,2.923728814
870,Forage Mgmt & Utilization,Agronomy,AGRONOMY,218,3.337209302
871,Forest Ecology,Forest and Wildlife Ecology,F&W ECOL,768,3.566753927
872,Forum on the Environment,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,1687,3.822095123
873,Forum on the Environment,Soil Science,SOIL SCI,1687,3.822095123
874,Found of Mobl Systms&Applctns,Computer Sciences,COMP SCI,552,3.614337568
875,Foundations of Contemp Art,Art Department,ART,1641,3.365982587
876,Foundations of Officership,Military Science,MIL SCI,708,3.857850071
877,Fourth Semester Chinese,East Asian Languages and Literature,E ASIAN,434,3.645199063
878,Fourth Semester French,French (French and Italian),FRENCH,2385,3.292729592
879,Fourth Semester German,German,GERMAN,1303,3.648347425
880,Fourth Semester Italian,Italian (French and Italian),ITALIAN,574,3.646017699
881,Fourth Semester Japanese,East Asian Languages and Literature,E ASIAN,387,3.361256545
882,Fourth Semester Spanish,Spanish (Spanish and Portuguese),SPANISH,8839,3.295074508
883,Fr&Ital Renaissance Lit Online,Literature in Translation,LITTRANS,764,3.175656985
884,Freedom Fate and Choice,Philosophy,PHILOS,145,3.328671329
885,French Interdis Studies,French (French and Italian),FRENCH,114,3.256637168
886,French/Francophone Film,French (French and Italian),FRENCH,123,3.549586777
887,Freshman Composition,ENGLISH,ENGLISH,7837,3.61487783
888,Freshman Seminar in Psychology,Psychology,PSYCH,256,3.580392157
889,Fund of Human Physiology,Physiology,PHYSIOL,711,3.173699015
890,Fund Principles-Vet Anatomy,Comparative Biosciences,COMP BIO,1010,3.369672944
891,Fundamental Math Skills,Mathematics,MATH,231,2.77510917
892,Fundamentals of Analytical Sci,Chemistry,CHEM,4306,3.095188285
893,Fundamentals of Directing,Theatre and Drama,THEATRE,221,3.735849057
894,Fundamentals of Taxation,Accounting and Information Systems,ACCT I S,1611,3.24906367
895,Fundamentals-Nuclear Engr,Nuclear Engineering,N E,462,3.232026144
896,Fundamentls-Supply Chain Mgmt,Marketing,MARKETNG,774,3.538261997
897,Fundamentls-Supply Chain Mgmt,Operations and Technology Management,OTM,774,3.538261997
898,Fungi,Botany,BOTANY,175,3.25
899,Fungi,Plant Pathology,PL PATH,175,3.25
900,Game Theory & Economic Anal,Economics,ECON,1016,3.123383085
901,Gems: Sci Behind the Sparkle,Geoscience,GEOSCI,4054,3.209819186
902,Gen Virology-Multiplication,Microbiology,MICROBIO,475,3.259656652
903,Gen Virology-Multiplication,Oncology,ONCOLOGY,475,3.259656652
904,Gen Virology-Multiplication,Plant Pathology,PL PATH,475,3.259656652
905,Gender & Work-Rural America,Community and Environmental Sociology,C&E SOC,613,2.808139535
906,Gender & Work-Rural America,Gender and Women’s Studies,GEN&WS,613,2.808139535
907,Gender & Work-Rural America,Sociology,SOC,613,2.808139535
908,Gender and Education,Educational Policy Studies,ED POL,155,3.573333333
909,Gender and Education,Gender and Women’s Studies,GEN&WS,155,3.573333333
910,"Gender, Women & Cultural Rep",Gender and Women’s Studies,GEN&WS,1502,3.558606832
911,"Gender, Women & Society-Global",Gender and Women’s Studies,GEN&WS,1535,3.454218443
912,"Gender, Women & the",Gender and Women’s Studies,GEN&WS,426,3.659600998
913,Gendr&Sexualty-Classcl Wrld,Classics,CLASSICS,445,3.582004556
914,Gendr&Sexualty-Classcl Wrld,Gender and Women’s Studies,GEN&WS,445,3.582004556
915,General Anthropology,Anthropology,ANTHRO,6214,2.754310345
916,General Biochemistry I,Biochemistry,BIOCHEM,2531,3.011623246
917,General Biochemistry II,Biochemistry,BIOCHEM,1765,2.950200343
918,General Botany,Biology,BIOLOGY,3884,2.881469979
919,General Botany,Botany,BOTANY,3884,2.881469979
920,General Chemistry,Chemistry,CHEM,32856,2.951337013
921,General Chemistry I,Chemistry,CHEM,11129,2.979112272
922,General Chemistry II,Chemistry,CHEM,9340,2.93379436
923,General Ecology,Botany,BOTANY,1936,3.161810614
924,General Ecology,Forest and Wildlife Ecology,F&W ECOL,1936,3.161810614
925,General Ecology,Zoology,ZOOLOGY,1936,3.161810614
926,General Genetics,Botany,BOTANY,4172,2.654136253
927,General Genetics,Genetics,GENETICS,4172,2.654136253
928,General Genetics,Zoology,ZOOLOGY,4172,2.654136253
929,General Genetics 1,Genetics,GENETICS,177,2.963276836
930,General Genetics 2,Genetics,GENETICS,76,2.76
931,General Geology,Geoscience,GEOSCI,5990,3.011007621
932,General Microbiology,Microbiology,MICROBIO,6220,3.015975472
933,General Microbiology Lab,Microbiology,MICROBIO,2949,3.597316576
934,General Phonetics,Linguistics,LINGUIS,98,3.521276596
935,General Physics,Physics,PHYSICS,44341,3.009103246
936,General Seminar,Curriculum and Instruction,CURRIC,2930,3.9568358
937,General Soil Science,Soil Science,SOIL SCI,796,2.920986094
938,Genetics in the News,Genetics,GENETICS,142,3.408450704
939,Genetics Laboratory,Genetics,GENETICS,406,3.45125
940,Genres-Asian Religious Writing,East Asian Languages and Literature,E ASIAN,421,3.312801932
941,Genres-Asian Religious Writing,Languages and Cultures of Asia,LCA,421,3.312801932
942,Genres-Asian Religious Writing,Religious Studies,RELIG ST,421,3.312801932
943,Genres-Westrn Relig Writing,Integrated Liberal Studies,ILS,446,3.323059361
944,Genres-Westrn Relig Writing,Religious Studies,RELIG ST,446,3.323059361
945,Geobiology,Geoscience,GEOSCI,286,2.983394834
946,Geog of Social Organization,Geography,GEOG,91,3.590361446
947,"Geog,Politics&Territorialty",Geography,GEOG,239,3.243534483
948,Geography of Wisconsin,Geography,GEOG,776,3.243375174
949,Geologic Evolution of Earth,Geoscience,GEOSCI,594,2.927474403
950,Geologic Field Methods,Geoscience,GEOSCI,58,3.105263158
951,Geom Inference & Reasoning,Mathematics,MATH,376,3.086666667
952,Geom Modeling-Engr Applcatn,Mechanical Engineering,M E,2156,3.058713886
953,Geomorphology,Geography,GEOG,206,3.4
954,Geomorphology,Geoscience,GEOSCI,206,3.4
955,German Film,Communication Arts,COM ARTS,60,3.145454545
956,German Film,German,GERMAN,60,3.145454545
957,German Immigration Experience,German,GERMAN,258,3.30982906
958,GIS and Spatial Analysis,Geography,GEOG,180,3.291428571
959,Glassworking,Art Department,ART,202,3.36
960,Global Chg: Atmospheric Iss,Atmospheric and Oceanic Sciences,ATM OCN,843,3.475369458
961,Global Chg: Atmospheric Iss,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,843,3.475369458
962,Global Feminisms,Gender and Women’s Studies,GEN&WS,165,3.41875
963,Global HipHop & Social Justice,African Languages and Literature,AFRICAN,193,3.293193717
964,Global HipHop & Social Justice,Afro-American Studies,AFROAMER,193,3.293193717
965,Global Marketing Strategy,International Business,INTL BUS,648,3.469626168
966,Global Marketing Strategy,Marketing,MARKETNG,648,3.469626168
967,Global Phys Environments,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,5408,2.914197876
968,Global Phys Environments,Geography,GEOG,5408,2.914197876
969,Global Warming:Science&Impacts,Atmospheric and Oceanic Sciences,ATM OCN,371,3.043227666
970,Global Warming:Science&Impacts,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,371,3.043227666
971,Global Warming:Science&Impacts,Geography,GEOG,371,3.043227666
972,Globalization and Education,Educational Policy Studies,ED POL,451,3.561085973
973,Globalization and Education,International Studies,INTL ST,451,3.561085973
974,"Globalizatn, Poverty&Develpmnt",Agricultural and Applied Economics,A A E,311,3.356677524
975,"Globalizatn, Poverty&Develpmnt",International Studies,INTL ST,311,3.356677524
976,"Globalizatn:State,Soc&Intl Sys",Political Science,POLI SCI,309,2.977124183
977,"GM Crops:Sci,Reg,Controversy",Agronomy,AGRONOMY,32,2.90625
978,"GM Crops:Sci,Reg,Controversy",Horticulture,HORT,32,2.90625
979,Golf I,PHYSICAL EDUC ACTIVITY PROGM,PE ACTIV,787,3.589253188
980,Graphic Design-Cartography,Geography,GEOG,215,3.514354067
981,Graphics for Designers,Landscape Architecture,LAND ARC,253,3.515873016
982,Grassland Ecology,Agronomy,AGRONOMY,408,3.764851485
983,Grassland Ecology,Botany,BOTANY,408,3.764851485
984,Grassland Ecology,Soil Science,SOIL SCI,408,3.764851485
985,Great Moral Philosophers,Philosophy,PHILOS,180,3.434285714
986,Great Speakers and Speeches,Communication Arts,COM ARTS,2157,3.057899672
987,Greek & Roman Med & Phcy,Classics,CLASSICS,403,3.323529412
988,Greek & Roman Med & Phcy,History,HISTORY,403,3.323529412
989,Greek & Roman Med & Phcy,History of Science,HIST SCI,403,3.323529412
990,Greek & Roman Med & Phcy,Medical History and Bioethics,MED HIST,403,3.323529412
991,Greek & Roman Med & Phcy,Social and Administrative Pharmacy,S&A PHM,403,3.323529412
992,Greek Painting,Art History,ART HIST,105,3.224137931
993,Green Screen,Environmental Studies - Gaylord Nelson Institute,ENVIR ST,336,3.259803922
994,Green Screen,History,HISTORY,336,3.259803922
995,Green Screen,History of Science,HIST SCI,336,3.259803922
996,Greenhouse Cultivation,Horticulture,HORT,84,3.511904762
997,Greenhse Prod-Ornamntl Plnt,Horticulture,HORT,187,3.109289617
998,Growth&Develpmt Global Econ,Agricultural and Applied Economics,A A E,629,3.17016129
999,Growth&Develpmt Global Econ,International Studies,INTL ST,629,3.17016129
1000,Hands on the Solar System,Astronomy,ASTRON,88,3.389534884
1001,Hands on the Universe,Astronomy,ASTRON,1089,3.434842884
1002,Health Care: Intrdis Appr,Nursing,NURSING,4363,3.882663605
1003,Health Care: Intrdis Appr,Social and Administrative Pharmacy,S&A PHM,4363,3.882663605
1004,Health Care: Intrdis Appr,Social Work,SOC WORK,4363,3.882663605
1005,Health Care: Intrdis Appr,Therapeutic Science (Department of Kinesiology),THER SCI,4363,3.882663605
1006,Health Systems Engineering,Industrial and Systems Engineering,I SY E,721,3.709722222
1007,Heat Transfer,Mechanical Engineering,M E,400,3.443734015
1008,Herbaceous Ornamntl Plant I,Horticulture,HORT,120,3.310344828
1009,Heredity,Botany,BOTANY,1166,3.011637931
1010,Heredity,Genetics,GENETICS,1166,3.011637931
1011,Heredity,Zoology,ZOOLOGY,1166,3.011637931
1012,"Heredity,Envr&Human Popultn",Anthropology,ANTHRO,125,3.4125
1013,Hero&Trickster-Oral Traditn,African Languages and Literature,AFRICAN,153,3.399328859
1014,Hero&Trickster-Oral Traditn,Folklore Program,FOLKLORE,153,3.399328859
1015,Hinduism,Languages and Cultures of Asia,LCA,816,3.518471338
1016,Hinduism,Religious Studies,RELIG ST,816,3.518471338
1017,Hist Am Thought 1859-Pres,History,HISTORY,160,3.152597403
1018,Hist of Africa Since 1870,History,HISTORY,369,3.139664804
1019,"Hist of Africa, 1500-1870",History,HISTORY,370,3
1020,"Hist of Amer Art, 1607-Present",Art History,ART HIST,295,3.569767442
1021,Hist of Ancient Philosophy,Philosophy,PHILOS,1079,3.395283019
1022,"Hist of Fashion,1400-Presnt",Design Studies,DS,225,3.299539171
1023,Hist of Mass Communication,History,HISTORY,1544,3.089794566
1024,Hist of Mass Communication,Journalism and Mass Communication,JOURN,1544,3.089794566
1025,Hist SE Asia Since 1800,History,HISTORY,319,3.54040404
1026,Hist SE Asia Since 1800,Languages and Cultures of Asia,LCA,319,3.54040404
1027,Hist Southeast Asia to 1800,History,HISTORY,182,3.193820225
1028,Hist Southeast Asia to 1800,Languages and Cultures of Asia,LCA,182,3.193820225
1029,Hist-Amer Political Thought,Political Science,POLI SCI,328,3.277602524
1030,Hist-Civ Rghts Movmnt in US,Afro-American Studies,AFROAMER,386,3.153638814
1031,Hist-Civ Rghts Movmnt in US,History,HISTORY,386,3.153638814
1032,"Hist-Germany, 1871-Present",History,HISTORY,228,3.061538462
1033,Historical Studies,History,HISTORY,1023,3.442424242
1034,History of American Capitalism,History,HISTORY,432,3.193266833
1035,History of Animated Film,Communication Arts,COM ARTS,295,3.080204778
1036,History of Books&Print Culture,History,HISTORY,131,3.748062016
1037,History of Books&Print Culture,Journalism and Mass Communication,JOURN,131,3.748062016
1038,History of Books&Print Culture,Library and Information Studies,L I S,131,3.748062016
1039,History of Documentary Film,Communication Arts,COM ARTS,246,3.20292887
1040,History of Landscape Arch,Landscape Architecture,LAND ARC,599,3.276106195
1041,History of Modern Biology,History of Science,HIST SCI,100,3.37628866
1042,History of Modern Biology,Medical History and Bioethics,MED HIST,100,3.37628866
1043,History of Pharmacy,History of Science,HIST SCI,287,3.54964539
1044,History of Pharmacy,Social and Administrative Pharmacy,S&A PHM,287,3.54964539
1045,History of Photography,Art History,ART HIST,299,3.526785714
1046,History of Scand to 1815,History,HISTORY,123,3.278846154
1047,History of Scand to 1815,Scandinavian Studies,SCAND ST,123,3.278846154
1048,History of Soviet Russia,History,HISTORY,298,3.32046332
1049,History of Western Art II,Art History,ART HIST,507,3.497252747
1050,History of World Cinema,Communication Arts,COM ARTS,466,3.142231947
1051,History-American Education,Educational Policy Studies,ED POL,2610,3.359044636
1052,History-American Education,History,HISTORY,2610,3.359044636
1053,History-Europe Since 1945,History,HISTORY,321,3.090747331
1054,History-Modern Philosophy,Philosophy,PHILOS,1117,3.31959707
1055,History-S Asia to Present,History,HISTORY,555,3.283609576
1056,History-Scand Since 1815,History,HISTORY,141,3.337398374
